figure_id,Gene,Collection,Compartment,Probe
2114305,Tm1,CPTI000760,CB,venusYFP
2105857,Tm1,CPTI002243,Overview,venusYFP
2112566,tkv,CPTI002487,CB,venusYFP
2113426,Pkn,CPTI002565,Overview,venusYFP
2112549,Dys,CPTI003818,CB,venusYFP
2105954,Rab1,CPTI004394,MB,venusYFP
2113078,kuz,CPTI000031,NMJ,venusYFP
2113952,CG42342,CPTI000033,NMJ,venusYFP
2113953,T-cp1,CPTI000037,NMJ,venusYFP
2113955,Lk6,CPTI000056,NMJ,venusYFP
2113956,HDAC4,CPTI000077,NMJ,venusYFP
2110775,for,CPTI000091,NMJ,venusYFP
2113957,glec,CPTI000155,NMJ,venusYFP
2110705,Pax,CPTI000161,NMJ,venusYFP
2110778,Pax,CPTI000161,NMJ,venusYFP
2110784,lola,CPTI000190,NMJ,venusYFP
2110788,tau,CPTI000194,NMJ,venusYFP
2110791,Cas,CPTI000199,NMJ,venusYFP
2113958,Hrb98DE,CPTI000205,NMJ,venusYFP
2110709,Mi-2,CPTI000232,NMJ,venusYFP
2110792,sqd,CPTI000239,NMJ,venusYFP
2110710,otk,CPTI000252,NMJ,venusYFP
2110793,MTA1-like,CPTI000256,NMJ,venusYFP
2110794,stwl,CPTI000263,NMJ,venusYFP
2113959,Ced-12,CPTI000286,NMJ,venusYFP
2110795,tapas,CPTI000298,NMJ,venusYFP
2110796,Got1,CPTI000303,NMJ,venusYFP
2113960,chrb,CPTI000318,NMJ,venusYFP
2113963,mbc,CPTI000332,NMJ,venusYFP
2113962,MBC,CPTI000332,NMJ,venusYFP
2110798,sdk,CPTI000337,NMJ,venusYFP
2113967,CG16812,CPTI000342,NMJ,venusYFP
2110800,Dek,CPTI000365,NMJ,venusYFP
2110803,twin,CPTI000371,NMJ,venusYFP
2113969,CG6724,CPTI000379,NMJ,venusYFP
2110837,Zasp52,CPTI000408,NMJ,venusYFP
2110838,Dek,CPTI000426,NMJ,venusYFP
2113972,Notch,CPTI000433,NMJ,venusYFP
2110839,Dek,CPTI000448,NMJ,venusYFP
2110840,CTPsyn,CPTI000453,NMJ,venusYFP
2110841,bmm,CPTI000472,NMJ,venusYFP
2110842,Src64B,CPTI000567,NMJ,venusYFP
2110843,cno,CPTI000590,NMJ,venusYFP
2113975,Ubx,CPTI000601,NMJ,venusYFP
2110844,Elf,CPTI000609,NMJ,venusYFP
2110846,I(1)G0320,CPTI000633,NMJ,venusYFP
2113978,ssp2,CPTI000635,NMJ,venusYFP
2113979,grp,CPTI000640,NMJ,venusYFP
2113998,PAN3,CPTI000657,NMJ,venusYFP
2113980,PAN3,CPTI000657,NMJ,venusYFP
2110847,Abl,CPTI000658,NMJ,venusYFP
2110848,Pdi,CPTI000688,NMJ,venusYFP
2113981,CG7675,CPTI000703,NMJ,venusYFP
2113982,fwe,CPTI000736,NMJ,venusYFP
2110850,CG34422,CPTI000739,NMJ,venusYFP
2110862,htk,CPTI000739,NMJ,venusYFP
2113984,CG1440,CPTI000763,NMJ,venusYFP
2113985,CG3036,CPTI000774,NMJ,venusYFP
2110852,RpS9,CPTI000785,NMJ,venusYFP
2113987,CG17839,CPTI000794,NMJ,venusYFP
2110853,CG17839,CPTI000794,NMJ,venusYFP
2110863,CG9650,CPTI000886,NMJ,venusYFP
2110864,Unc-115a,CPTI000905,NMJ,venusYFP
2110865,Trxr-1,CPTI000915,NMJ,venusYFP
2113926,aop,CPTI000941,NMJ,venusYFP
2113990,CamkII,CPTI000944,NMJ,venusYFP
2113991,Gad1,CPTI000977,NMJ,venusYFP
2113992,Pk61C,CPTI001036,NMJ,venusYFP
2113993,dally,CPTI001039,NMJ,venusYFP
2113996,Mtor,CPTI001044,NMJ,venusYFP
2113997,LRP1,CPTI001046,NMJ,venusYFP
2111857,AMP-deaminase,CPTI001081,NMJ,venusYFP
2110731,Ten-m,CPTI001175,NMJ,venusYFP
2117867,noGene,CPTI001951,NMJ,venusYFP
2114009,PMCA,CPTI001995,NMJ,venusYFP
2114011,Mlc1,CPTI002102,NMJ,venusYFP
2114014,elF-4B,CPTI002187,NMJ,venusYFP
2114015,Hsc70Cb,CPTI002201,NMJ,venusYFP
2114016,Pde11,CPTI002206,NMJ,venusYFP
2113923,ade5,CPTI002207,NMJ,venusYFP
2114017,Tudor-SN,CPTI002221,NMJ,venusYFP
2114020,vimar,CPTI002285,NMJ,venusYFP
2114021,MFS3,CPTI002305,NMJ,venusYFP
