figure_id,Gene,Collection,Compartment,Probe
2133580,mbc,CPTI000332,VNC,venusYFP
2133587,map205,CPTI003339,VNC,venusYFP
2133586,mip130,CPTI003151,VNC,venusYFP
2133585,Gli,CPTI002805,VNC,venusYFP
2133584,qkr58E-1,CPTI002103,VNC,venusYFP
2133583,vsg,CPTI0001718,VNC,venusYFP
2133582,Abl,CPTI000658,VNC,venusYFP
2133581,grp,CPTI000640,VNC,venusYFP
2133579,map205,CPTI003339,MB,venusYFP
2133578,mip130,CPTI003151,MB,venusYFP
2133576,Gli,CPTI002805,MB,venusYFP
2133575,qkr58E-1,CPTI002103,MB,venusYFP
2133574,vsg,CPTI001718,MB,venusYFP
2133573,Abl,CPTI000658,MB,venusYFP
2133572,grp,CPTI000640,MB,venusYFP
2133571,mbc,CPTI000332,MB,venusYFP
2133570,map205,CPTI0003339,OL,venusYFP
2133569,mip130,CPTI0003151,OL,venusYFP
2133568,Gli,CPTI0002805,OL,venusYFP
2133564,qkr58E-1,CPTI0002103,OL,venusYFP
2133563,vsg,CPTI0001718,OL,venusYFP
2133562,Abl,CPTI000658,OL,venusYFP
2133561,grp,CPTI000640,OL,venusYFP
2133560,mbc,CPTI000332,OL,venusYFP
2133559,map205,CPTI003339,CB,venusYFP
2133558,mip130,CPTI003151,CB,venusYFP
2133557,Gli,CPTI002805,CB,venusYFP
2133556,qkr58E-1,CPTI002103,CB,venusYFP
2133555,vsg,CPTI0001718,CB,venusYFP
2133554,Abl,CPTI000658,CB,venusYFP
2133553,mbc,CPTI000332,CB,venusYFP
2133552,grp,CPTI000640,CB,venusYFP
2133550,vsg,CPTI001718,overview,venusYFP
2133549,Abl,CPTI000658,overview,venusYFP
2133548,grp,CPTI000640,overview,venusYFP
2127910,Orb2,CPTI002889,MB,venusYFP
2127887,Map205,CPTI003339,overview,venusYFP
2127886,mip130,CPTI003151,overview,venusYFP
2127885,Gli,CPTI002805,overview,venusYFP
2127883,qkr58E-1,CPTI002103,overview,venusYFP
2126775,shot,CPTI001962,VNC,venusYFP
2126774,shot,CPTI001962,OL,venusYFP
2126773,Shot,CPTI001962,MB,venusYFP
2126772,Pxn,CPTI003897,MB,venusYFP
2091794,Rab11,CPTI100051,VNC,venusYFP
2105960,papla1,CPTI10245,OL,venusYFP
2125915,sdk,CPTI000337,VNC,venusYFP
2125914,sdk,CPTI000337,CB,venusYFP
2125912,sdk,CPTI000337,MB,venusYFP
2125871,sdk,CPTI000337,Overview,venusYFP
2125775,Pop2,CPTI002818,Overview,venusYFP
2125774,Pop2,CPTI002818,VNC,venusYFP
2125773,Pop2,CPTI002818,OL,venusYFP
2125772,Pop2,CPTI002818,MB,venusYFP
2125771,Pop2,CPTI002818,CB,venusYFP
2125770,Pits,CPTI001659,CB,venusYFP
2125769,pbl,CPTI000850,Overview,venusYFP
2125768,pbl,CPTI000850,VNC,venusYFP
2125766,pbl,CPTI000850,OL,venusYFP
2125765,pbl,CPTI00850,MB,venusYFP
2125764,pbl,CPTI00850,CB,venusYFP
2125762,Cas(Cse),CPTI000199,CB,venusYFP
2125761,Cas(Cse),CPTI000199,VNC,venusYFP
2125760,Cas(Cse),CPTI000199,OL,venusYFP
2125759,Cas(CSE),CPTI000199,MB,venusYFP
2125758,Cas(Cse),CPTI000199,overview,venusYFP
2125755,Alpha-Cat,CPTI002342,overview,venusYFP
2125754,RnpS1,CPTI004189,CB,venusYFP
2125753,CG31694,CPTI001771,CB,venusYFP
2125752,dp,CPTI001769,CB,venusYFP
2125750,Smr,CPTI001328,CB,venusYFP
2125749,RnpS1,CPTI004189,VNC,venusYFP
2125748,CG31694,CPTI001771,VNC,venusYFP
2125747,dp,CPTI001769,VNC,venusYFP
2125746,Smr,CPTI001328,VNC,venusYFP
2125745,RnpS1,CPTI004189,OL,venusYFP
2125744,CG31694,CPTI001771,OL,venusYFP
2125743,orb2,CPTI004362,CB,venusYFP
2125742,dp,CPTI001769,OL,venusYFP
2125741,orb2,CPTI004362,MB,venusYFP
2125740,Smr,CPTI001328,OL,venusYFP
2125739,orb2,CPTI004362,OL,venusYFP
2125738,RnpS1,CPTI004189,MB,venusYFP
2125737,orb2,CPTI004362,VNC,venusYFP
2125736,orb2,CPTI004362,Overview,venusYFP
2125735,nonA,CPTI003091,OL,venusYFP
2125624,Fs(2)Ket,CPTI001735,Overview,venusYFP
2125622,Fs(2)Ket,CPTI001735,VNC,venusYFP
2125620,Fs(2)Ket,CPTI001735,OL,venusYFP
2125619,Fs(2)Ket,CPTI001735,MB,venusYFP
2125617,Fs(2)Ket,CPTI001735,CB,venusYFP
2125607,eif-1A,CPTI002562,MB,venusYFP
2125605,CG31738,CPTI001586,Overview,venusYFP
2128405,Top1,CPTI002927,Overview,venusYFP
2128404,Top1,CPTI002927,CB,venusYFP
2124789,CG4726,CPTI002305,OL,venusYFP
2124788,CG4726,CPTI002305,VNC,venusYFP
2124787,CG4726,CPTI002305,CB,venusYFP
2124786,CG4726,CPTI002305,MB,venusYFP
2124784,fwe,CPTI000736,MB,venusYFP
2124783,fwe,CPTI000736,OL,venusYFP
2124782,fwe,CPTI000736,VNC,venusYFP
2124781,fwe,CPTI000736,CB,venusYFP
2125733,CG31694,CPTI001771,MB,venusYFP
2125732,dp,CPTI001769,MB,venusYFP
2125731,Smr,CPTI001328,MB,venusYFP
2125730,NonA,CPTI003091,CB,venusYFP
2125729,Nlp,CPTI003532,MB,venusYFP
2125728,NetB,CPTI000748,OL,venusYFP
2125727,NetB,CPTI000748,Overview,venusYFP
2125726,mip130,CPTI003151,Overview,venusYFP
2125723,Fer1HCH,CPTI000038,CB,venusYFP
2125722,CG3036,CPTI000774,CB,venusYFP
2125721,cup,CPTI001409,CB,venusYFP
2125720,Lasp,CPTI002905,CB,venusYFP
2125719,Fer1HCH,CPTI000038,VNC,venusYFP
2125718,CG3036,CPTI000774,VNC,venusYFP
2125717,cup,CPTI001409,VNC,venusYFP
2125716,Lasp,CPTI002905,VNC,venusYFP
2125715,Fer1HCH,CPTI000038,OL,venusYFP
2125714,CG3036,CPTI000774,OL,venusYFP
2125713,cup,CPTI001409,OL,venusYFP
2125712,Lasp,CPTI002905,OL,venusYFP
2125711,Fer1HCH,CPTI000038,MB,venusYFP
2125710,CG3036,CPTI000774,MB,venusYFP
2125709,cup,CPTI001409,MB,venusYFP
2125708,Lasp,CPTI002905,MB,venusYFP
2125707,PpD3,CPTI001194,CB,venusYFP
2125706,cg3777,CPTI001997,CB,venusYFP
2125705,rg,CPTI003323,CB,venusYFP
2125704,CG4825,CPTI003911,CB,venusYFP
2125703,PpD3,CPTI001194,VNC,venusYFP
2125702,CG3777,CPTI001997,VNC,venusYFP
2125701,rg,CPTI003323,VNC,venusYFP
2125700,CG4825,CPTI003911,VNC,venusYFP
2125699,map205,CPTI003339,OL,venusYFP
2125698,PpD3,CPTI001194,OL,venusYFP
2125697,map205,CPTI003339,MB,venusYFP
2125696,CG3777,CPTI001997,OL,venusYFP
2125695,map205,CPTI003339,Overview,venusYFP
2125694,rg,CPTI003323,OL,venusYFP
2125693,map205,CPTI003339,VNC,venusYFP
2125692,map205,CPTI003339,CB,venusYFP
2125691,CG4825,CPTI003911,OL,venusYFP
2125690,PpD3,CPTI001194,MB,venusYFP
2125689,CG3777,CPTI001997,MB,venusYFP
2125688,rg,CPTI003323,MB,venusYFP
2125687,CG4825,CPTI003911,MB,venusYFP
2125686,Pdi,CPTI000688,CB,venusYFP
2125685,l(1)G0320,CPTI000633,CB,venusYFP
2125684,CG2165,CPTI001995,CB,venusYFP
2125683,CG1640,CPTI002793,CB,venusYFP
2125682,Pdi,CPTI000688,VNC,venusYFP
2125681,l(1)G0320,CPTI000633,VNC,venusYFP
2125680,CG2165,CPTI001995,VNC,venusYFP
2125679,CG1640,CPTI002793,VNC,venusYFP
2125678,Pdi,CPTI000688,OL,venusYFP
2125677,l(1)G0320,CPTI000633,OL,venusYFP
2125676,CG2165,CPTI001995,OL,venusYFP
2125675,CG1640,CPTI002793,OL,venusYFP
2125674,Pdi,CPTI000688,MB,venusYFP
2125673,l(1)G0320,CPTI000633,MB,venusYFP
2125672,CG2165,CPTI001995,MB,venusYFP
2125671,CG1640,CPTI002793,MB,venusYFP
2125670,CG12163,CPTI003173,CB,venusYFP
2125669,Caper,CPTI002939,CB,venusYFP
2125668,Ten-m,CPTI001175,CB,venusYFP
2125667,otk,CPTI000252,CB,venusYFP
2125666,CG12163,CPTI003173,VNC,venusYFP
2125665,Caper,CPTI002939,VNC,venusYFP
2125664,Ten-m,CPTI001175,VNC,venusYFP
2125663,otk,CPTI000252,VNC,venusYFP
2125662,CG12163,CPTI003173,OL,venusYFP
2125661,Caper,CPTI002939,OL,venusYFP
2125660,Ten-m,CPTI001175,OL,venusYFP
2125659,otk,CPTI000252,OL,venusYFP
2125658,CG12163,CPTI003173,MB,venusYFP
2125657,Caper,CPTI002939,MB,venusYFP
2125656,Ten-m,CPTI001175,MB,venusYFP
2125655,otk,CPTI000252,MB,venusYFP
2125654,Mlc1,CPTI002102,CB,venusYFP
2125653,CG3305,CPTI001775,CB,venusYFP
2125652,CG6151,CPTI000736,CB,venusYFP
2125651,Mlc1,CPTI002102,VNC,venusYFP
2125650,CG3305,CPTI001775,VNC,venusYFP
2125649,CG6151,CPTI000736,VNC,venusYFP
2125648,Mlc1,CPTI002102,OL,venusYFP
2125647,CG3305,CPTI001775,OL,venusYFP
2125646,CG6151,CPTI000736,OL,venusYFP
2125645,Mlc1,CPTI002102,MB,venusYFP
2125644,CG3305,CPTI001775,MB,venusYFP
2125643,CG6151,CPTI000736,MB,venusYFP
2125636,ade3,CPTI003733,OL,venusYFP
2125635,kuz,CPTI000031,CB,venusYFP
2125634,kuz,CPTI000031,MB,venusYFP
2125633,ade3,CPTI003733,MB,venusYFP
2125632,kuz,CPTI000031,OL,venusYFP
2125631,kuz,CPTI000031,VNC,venusYFP
2125630,ade3,CPTI003733,CB,venusYFP
2125629,Kuz,CPTI000031,Overview,venusYFP
2124284,CG15307,CPTI001056,MB,venusYFP
2124283,CG15307,CPTI001056,VNC,venusYFP
2124281,Cas,CPTI000199,VNC,venusYFP
2124280,Cas,CPTI000199,OL,venusYFP
2124279,Cas,CPTI000199,CB,venusYFP
2124278,Cas,CPTI000199,Overview,venusYFP
2119626,Cas,CPTI000199,MB,venusYFP
2119148,BNIP3,CPTI001180,VNC,venusYFP
2119117,BicD,CPTI003522,VNC,venusYFP
2119116,BicD,CPTI003522,Overview,venusYFP
2118358,14-3-3epsilon,CPTI100045,CB,venusYFP
2118357,14-3-3epsilon,CPTI100045,VNC,venusYFP
2118356,14-3-3epsilon,CPTI100045,OL,venusYFP
2118355,14-3-3epsilon,CPTI100045,MB,venusYFP
2118354,14-3-3epsilon,CPTI100045,Overview,venusYFP
2118108,CG42258,CPTI003923,MB,venusYFP
2118107,CG42258,CPTI003923,CB,venusYFP
2118106,CG42258,CPTI003923,OL,venusYFP
2118105,CG42258,CPTI003923,VNC,venusYFP
2118104,CG42258,CPTI003923,Overview,venusYFP
2118103,ade3,CPTI003790,VNC,venusYFP
2118102,ade3,CPTI003790,MB,venusYFP
2118101,ade3,CPTI003590,CB,venusYFP
2118100,ade3,CPTI003790,OL,venusYFP
2118099,ade3,CPTI003790,Overview,venusYFP
2118098,piwi,CPTI003588,Overview,venusYFP
2118097,piwi,CPTI003588,CB,venusYFP
2118096,piwi,CPTI003588,MB,venusYFP
2118095,piwi,CPTI003588,OL,venusYFP
2118094,piwi,CPTI003588,VNC,venusYFP
2118093,fz2,CPTI009739,VNC,venusYFP
2118092,fz2,CPTI009739,CB,venusYFP
2118091,fz2,CPTI009739,MB,venusYFP
2118089,fz2,CPTI003490,OL,venusYFP
2118088,fz2,CPTI003490,Overview,venusYFP
2116685,htk,CPTI000739,CB,venusYFP
2116684,htk,CPTI000739,Overview,venusYFP
2116683,fz2,CPTI003490,OL,venusYFP
2116682,fz2,CPTI003490,MB,venusYFP
2116076,Shot,CPTI001962,CB,venusYFP
2116075,Shot,CPTI001962,Overview,venusYFP
2116074,Bsg,CPTI100062,overview,venusYFP
2116073,Bsg,CPTI100062,VNC,venusYFP
2116072,Bsg,CPTI100062,MB,venusYFP
2116071,Bsg,CPTI100062,OL,venusYFP
2116070,Bsg,CPTI100062,CB,venusYFP
2115974,dlg1,CPTI000207,OL,venusYFP
2115973,dlg1,CPTI000207,MB,venusYFP
2115972,dlg1,CPTI000207,VNC,venusYFP
2115971,dlg1,CPTI000207,CB,venusYFP
2119628,CG42342,CPTI000033,CB,venusYFP
2119627,CG32972,CPTI003732,Overview,venusYFP
2119358,htk,CPTI000739,OL,venusYFP
2119357,htk,CPTI000739,MB,venusYFP
2119356,Atpalpha,CPTI002761,CB,venusYFP
