Drosophila melanogaster gene stable ID,Gene name,Unique
FBgn0000018,Det1 Det1 Det1,'Det1'
FBgn0000022,Ascl5 Ascl4 Ascl4 Ascl1 Ascl2 Ascl2 Ascl3,"'Ascl2', 'Ascl3', 'Ascl1', 'Ascl4', 'Ascl5'"
FBgn0000024,Bche Bche Bche Bche,'Bche'
FBgn0000028,Pou3f4 Pou3f1 Pou6f1 Pou6f1 Pou6f1 Pou6f1 Pou6f1 Pou6f1 Pou6f1 Pou6f1 Pou6f1 Pou6f1 Pou6f1 Pou1f1 Pou1f1 Pou1f1 Pou1f1 Pou1f1 Ccdc160 Pou4f3 Pou4f3 Pou2f2 Pou2f2 Pou2f2 Pou2f2 Pou2f2 Pou2f2 Pou2f2 Pou2f2 Pou2f2 Pou2f2 Pou2f1 Pou2f1 Pou2f1 Pou2f1 Pou2f1 Pou2f1 Pou2f1 Pou2f1 Pou2f1 Pou2f1 Pou2f1 Pou2f1 Pou2f1 Pou2f1 Pou2f1 Pou2f1 Pou2f1 Pou2f1 Pou5f2 Pou4f2 Pou4f1 Pou4f1 Hdx Hdx Pou3f3 Pou3f2 Pou5f1 Pou5f1 Pou5f1 Pou5f1 Pou5f1 Pou5f1 Pou6f2 Pou6f2 Pou6f2 Pou6f2 Pou6f2 Pou6f2 Pou6f2 Pou6f2,"'Pou1f1', 'Pou3f3', 'Pou3f1', 'Pou3f4', 'Pou3f2', 'Ccdc160', 'Hdx', 'Pou6f2', 'Pou4f1', 'Pou4f2', 'Pou6f1', 'Pou5f1', 'Pou5f2', 'Pou2f1', 'Pou2f2', 'Pou4f3'"
FBgn0000032,Acp4 Acp4 Acp4 Acpp Acpp Acpp Acpp Acpp Acpp Acp2 Acp2 Acp2 Acp2 Acp2,"'Acp4', 'Acpp', 'Acp2'"
FBgn0000042,Actb Actb Actb Actb Actb Actb Actb Actb Actb Actg1 Actg1 Actg1 Actg1 Actg1 Actg1 Actg1 Actg1 Actg1 Gm17087 Gm17087,"'Actb', 'Gm17087', 'Actg1'"
FBgn0000043,Actb Actb Actb Actb Actb Actb Actb Actb Actb Actg1 Actg1 Actg1 Actg1 Actg1 Actg1 Actg1 Actg1 Actg1 Gm17087 Gm17087,"'Actb', 'Gm17087', 'Actg1'"
FBgn0000044,Gm498 Gm498 Gm498 Gm498 Gm498 Gm498 Gm498 Gm498 Gm498 Gm498 Gm498 Gm498 Gm498 Actrt2,"'Gm498', 'Actrt2'"
FBgn0000045,Actl10 Actl10 Actl6b Actl6b Actl6b Actl6b Actl6b Actl6b Actl6b Actl6b Actl6b Actl7b Actl7a Actl9 Gm498 Gm498 Gm498 Gm498 Gm498 Gm498 Gm498 Gm498 Gm498 Gm498 Gm498 Gm498 Gm498 Actrt2 Actr1b Actr1b Actr1b Actr1b Actr1b Actr1b Actr1b Acta2 Acta2 Actl11 Actrt3 Actg2 Actg2 Actg2 Actg2 Actg2 Actg2 Actbl2 Actrt1,"'Acta2', 'Actbl2', 'Actg2', 'Actl9', 'Actrt1', 'Actrt2', 'Actrt3', 'Actl7b', 'Actl7a', 'Actl11', 'Actl10', 'Actl6b', 'Gm498', 'Actr1b'"
FBgn0000046,Gm498 Gm498 Gm498 Gm498 Gm498 Gm498 Gm498 Gm498 Gm498 Gm498 Gm498 Gm498 Gm498 Actrt2,"'Gm498', 'Actrt2'"
FBgn0000047,Gm498 Gm498 Gm498 Gm498 Gm498 Gm498 Gm498 Gm498 Gm498 Gm498 Gm498 Gm498 Gm498 Actrt2,"'Gm498', 'Actrt2'"
FBgn0000052,Pfas Pfas Pfas Pfas Pfas Pfas Pfas,'Pfas'
FBgn0000053,Gart Gart Gart Gart Gart Gart Gart Gart Gart Gart Gart Gart Gart,'Gart'
FBgn0000055,Hpgd,'Hpgd'
FBgn0000056,Cbr4 Cbr4 Cbr4 Cbr4 Cbr4 Cbr4,'Cbr4'
FBgn0000057,Wdtc1 Wdtc1 Wdtc1 Wdtc1 Wdtc1,'Wdtc1'
FBgn0000063,Ttk Ttk Ttk Ttk Ttk Ttk,'Ttk'
FBgn0000064,Aldoa Aldoa Aldoa Aldoa Aldoa Aldoa Aldoa Aldoa Aldoa Aldoa Aldoa Aldoa Aldob Aldob Aldob Aldoart2 Aldoc Aldoc Aldoc Aldoc Aldoc Aldoc Aldoart1 Aldoart1,"'Aldoa', 'Aldoart1', 'Aldoc', 'Aldob', 'Aldoart2'"
FBgn0000071,Lsamp Lsamp Lsamp Lsamp Lsamp Lsamp Lsamp Lsamp Lsamp Lsamp Negr1 Negr1 Negr1 Negr1 Negr1 Ntm Ntm Ntm Ntm Ntm Ntm Ntm Ntm Ntm Ntm Ntm Iglon5 Iglon5 Opcml Opcml Opcml Opcml Opcml Opcml Opcml Opcml Opcml,"'Negr1', 'Iglon5', 'Ntm', 'Opcml', 'Lsamp'"
FBgn0000077,Tm2d3 Tm2d3 Tm2d3 Tm2d3 Tm2d3 Tm2d3 Tm2d3 Tm2d3 Tm2d3 Tm2d3,'Tm2d3'
FBgn0000078,Amy2a5 Amy2a5 Amy2a4 Amy2a3 Amy2a2 Amy2a1 Amy1 Amy1 Amy1 Amy1 Amy1,"'Amy1', 'Amy2a4', 'Amy2a5', 'Amy2a2', 'Amy2a3', 'Amy2a1'"
FBgn0000079,Amy2a5 Amy2a5 Amy2a4 Amy2a3 Amy2a2 Amy2a1 Amy1 Amy1 Amy1 Amy1 Amy1,"'Amy1', 'Amy2a4', 'Amy2a5', 'Amy2a2', 'Amy2a3', 'Amy2a1'"
FBgn0000083,Anxa10 Anxa10 Anxa10 Anxa4 Anxa4 Anxa4 Anxa4 Anxa4 Anxa4 Anxa4 Anxa4 Anxa4 Anxa6 Anxa6 Anxa6 Anxa9 Anxa9 Anxa9 Anxa9 Anxa1 Anxa1 Anxa1 Anxa1 Anxa1 Anxa1 Anxa1 Anxa1 Anxa11 Anxa11 Anxa11 Anxa11 Anxa7 Anxa7 Anxa7 Anxa7 Anxa7 Anxa7 Anxa7 Anxa7 Anxa7 Anxa7 Anxa7 Anxa3 Anxa3 Anxa3 Anxa3 Anxa3 Anxa3 Anxa3 Anxa3 Anxa3 Anxa2 Anxa2 Anxa2 Anxa2 Anxa2 Anxa2 Anxa8 Anxa8 Anxa5 Anxa5 Anxa5,"'Anxa1', 'Anxa3', 'Anxa2', 'Anxa5', 'Anxa4', 'Anxa7', 'Anxa6', 'Anxa9', 'Anxa8', 'Anxa11', 'Anxa10'"
FBgn0000084,Anxa10 Anxa10 Anxa10 Anxa9 Anxa9 Anxa9 Anxa9 Anxa8 Anxa8,"'Anxa9', 'Anxa10', 'Anxa8'"
FBgn0000100,Rplp0 Rplp0 Rplp0 Rplp0,'Rplp0'
FBgn0000108,App App App App App App App App App App App Aplp1 Aplp1 Aplp1 Aplp1 Aplp1 Aplp2 Aplp2 Aplp2 Aplp2 Aplp2 Aplp2 Aplp2 Aplp2 Aplp2 Aplp2,"'Aplp1', 'App', 'Aplp2'"
FBgn0000109,Aprt Aprt Aprt Aprt Aprt Aprt Aprt Aprt Aprt,'Aprt'
FBgn0000114,Celf3 Celf3 Celf3 Celf3 Celf3 Celf3 Celf3 Celf3 Celf3 Celf3 Celf3 Celf3 Celf3 Celf3 Celf3 Celf2 Celf2 Celf2 Celf2 Celf2 Celf2 Celf2 Celf2 Celf2 Celf2 Celf2 Celf2 Celf2 Celf2 Celf2 Celf2 Celf2 Celf2 Celf2 Celf2 Celf2 Celf2 Celf2 Celf2 Celf2 Celf2 Celf2 Celf2 Celf5 Celf5 Celf5 Celf5 Celf5 Celf5 Celf5 Celf5 Celf1 Celf1 Celf1 Celf1 Celf1 Celf1 Celf1 Celf1 Celf1 Celf1 Celf1 Celf1 Celf1 Celf1 Celf4 Celf4 Celf4 Celf4 Celf4 Celf4 Celf4 Celf4 Celf4 Celf4,"'Celf5', 'Celf4', 'Celf3', 'Celf2', 'Celf1'"
FBgn0000115,Arl1 Arl1 Arl1,'Arl1'
FBgn0000116,Ckmt1 Ckmt1 Ckmt1 Ckmt1 Ckmt1 Ckmt1 Ckmt1 Ckmt1 Ckmt1 Ckmt1 Ckb Ckb Ckb Ckb Ckb Ckm Ckm Ckm Ckmt2,"'Ckm', 'Ckmt2', 'Ckmt1', 'Ckb'"
FBgn0000117,Jup Jup Jup Jup Jup Jup Jup Jup Jup Ankar Ankar Ankar Ankar,"'Ankar', 'Jup'"
FBgn0000119,Lrp8 Lrp8 Lrp8 Lrp8 Lrp8 Lrp8 Lrp8 Lrp8 Lrp8 Lrp8 Lrp8 Lrp8 Vldlr Vldlr Vldlr Vldlr Vldlr Vldlr Vldlr Vldlr Lrp1b Lrp1b Lrp1b Lrp1b Lrp1b Lrp1b Lrp1b Lrp1b Lrp1b Lrp1b Lrp1b Lrp1b Lrp1 Lrp1 Lrp1 Lrp1 Lrp1 Lrp1 Lrp1 Lrp1 Lrp1 Lrp1 Lrp2 Lrp2 Lrp2 Lrp2 Nid2 Nid2 Nid2 Nid2 Lrp6 Lrp6 Lrp6 Lrp6 Lrp6 Lrp6 Lrp4 Lrp4 Lrp4 Lrp4 Ldlr Ldlr Ldlr Ldlr Ldlr Ldlr Ldlr Lrp3 Lrp3 Lrp3 Lrp3 Lrp12 Lrp12 Lrp12 Lrp12 Lrp10 Lrp10 Lrp10 Lrp10,"'Lrp2', 'Lrp3', 'Lrp12', 'Lrp1', 'Lrp6', 'Vldlr', 'Lrp4', 'Lrp8', 'Ldlr', 'Lrp10', 'Nid2', 'Lrp1b'"
FBgn0000120,Sag Sag Sag Sag Sag Sag Sag Sag Sag,'Sag'
FBgn0000121,Sag Sag Sag Sag Sag Sag Sag Sag Sag,'Sag'
FBgn0000137,Ascl5 Ascl4 Ascl4 Ascl1 Ascl2 Ascl2 Ascl3,"'Ascl2', 'Ascl3', 'Ascl1', 'Ascl4', 'Ascl5'"
FBgn0000139,Ash2l Ash2l Ash2l Ash2l Ash2l Ash2l Ash2l Ash2l Ash2l Ash2l Ash2l,'Ash2l'
FBgn0000140,Aspm Aspm Aspm Aspm Aspm,'Aspm'
FBgn0000146,Piwil4 Piwil4 Piwil4 Piwil4 Piwil1 Piwil1 Piwil1,"'Piwil4', 'Piwil1'"
FBgn0000147,Aurka Aurka Aurka Aurka Aurka,'Aurka'
FBgn0000150,Gm20390,'Gm20390'
FBgn0000153,Csad Csad Csad Csad Csad Csad Csad Csad Csad Csad Csad Csad Csad Csad Csad Csad Csad Csad Csad Csad Csad Csad Csad,'Csad'
FBgn0000157,Dlx4 Dlx4,'Dlx4'
FBgn0000163,Pard3 Pard3 Pard3 Pard3 Pard3 Pard3 Pard3 Pard3 Pard3 Pard3 Pard3 Pard3 Pard3 Pard3 Pard3 Pard3 Pard3 Pard3 Pard3 Pard3 Pard3 Pard3 Pard3 Pard3 Pard3 Pard3 Pard3 Pard3 Pard3b Pard3b Pard3b Pard3b Pard3b Pard3b,"'Pard3', 'Pard3b'"
FBgn0000173,Ube2n Ube2n Ube2n Ube2n Ube2n Ube2n,'Ube2n'
FBgn0000179,Tbx10,'Tbx10'
FBgn0000181,Btf3l4 Btf3l4 Btf3l4 Btf3l4 Btf3l4 Btf3l4 Gm20075,"'Gm20075', 'Btf3l4'"
FBgn0000182,Gm382 4921511C20Rik Hdlbp Hdlbp Hdlbp Hdlbp Hdlbp Hdlbp Hdlbp Hdlbp Hdlbp Hdlbp Hdlbp,"'4921511C20Rik', 'Hdlbp', 'Gm382'"
FBgn0000183,Bicd1 Bicd1 Bicd1 Bicd1 Bicd1 Bicd1 Bicd1 Bicd1 Bicd1 Bicd2 Bicd2 Bicd2 Bicd2,"'Bicd2', 'Bicd1'"
